Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           5.4819       5.4819       0.0000     0.0
0.0010           5.4869       5.4819       0.0050     0.7
0.0020           5.4920       5.4819       0.0102     1.5
0.0030           5.4971       5.4817       0.0154     2.2
0.0040           5.4988       5.4814       0.0174     2.5
0.0050           5.5046       5.4810       0.0236     3.4
0.0060           5.5111       5.4803       0.0307     4.4
0.0070           5.5148       5.4794       0.0354     5.1
0.0080           5.5202       5.4781       0.0421     6.0
0.0090           5.5253       5.4764       0.0489     7.0
0.0100           5.5289       5.4738       0.0551     7.9
0.0110           5.5326       5.4704       0.0623     8.9
0.0120           5.5370       5.4658       0.0712    10.2
0.0130           5.5446       5.4598       0.0848    12.2
0.0140           5.5480       5.4520       0.0960    13.8
0.0150           5.5558       5.4418       0.1140    16.3
0.0160           5.5555       5.4283       0.1272    18.2
0.0170           5.5522       5.4113       0.1409    20.2
0.0180           5.5608       5.3896       0.1712    24.5
0.0190           5.5583       5.3617       0.1966    28.2
0.0200           5.5598       5.3266       0.2332    33.4
0.0210           5.5711       5.2819       0.2892    41.4
0.0220           5.5763       5.2253       0.3510    50.3
0.0230           5.5779       5.1542       0.4237    60.7
0.0240           5.5797       5.0659       0.5139    73.6
0.0250           5.5802       4.9563       0.6238    89.4
0.0260           5.5955       4.8204       0.7751   111.0
0.0270           5.5966       4.6535       0.9431   135.1
0.0280           5.5969       4.4512       1.1457   164.1
0.0290           5.6086       4.2079       1.4006   200.7
0.0300           5.6007       3.9193       1.6815   240.9
